R,G,B,SPAD,Nitorgen,Category,Normalized R,Normalized G,Normalized B,SR B/R,NDVI (cam),Excess NIRB
152.42623932,182.09062959,208.02641889,59.1838926780116,3.24035006910658,Normal,0.28094760869328,0.335624149601727,0.383428241704993,55.60017957,0.154250990535371,81.53596887
157.98103795,189.0970737,217.08423216,65.0250269882222,3.43252338791251,High,0.280027619147876,0.335182019457301,0.384790361394823,59.10319421,0.157581090333067,87.09035267
154.45242201,187.07027747,218.84016303,68.3368696657296,3.5414830120025,High,0.275629297270291,0.333837750474875,0.390532952254834,64.38774102,0.17248598981172,96.15762658
143.05023129,173.37937325,200.96867874,58.3112488155519,3.21164008603166,Normal,0.27647991095592,0.335098470274924,0.388421618769156,57.91844745,0.168358324968093,85.50775294
153.95305223,183.84441822,210.08702312,59.9566838175506,3.26577489759741,Normal,0.280995454401066,0.335553242293964,0.38345130330497,56.13397089,0.154197229071637,82.37657579
147.2144786,179.75851683,211.45980474,65.6433091463231,3.45286487091403,High,0.273412909751263,0.333855063757714,0.392732026491023,64.24532614,0.179118852742224,95.94661405
160.09465579,191.53405356,221.45093667,68.1842788186937,3.53646277313502,High,0.279358474693433,0.334218908122442,0.386422617184124,61.35628088,0.160809827429555,91.27316399
152.95405703,184.09498067,212.13526544,55.6016371682019,3.12249386283384,Normal,0.278511341557787,0.335215299522262,0.38627335891995,59.18120841,0.162100627894597,87.22149318
149.7096194,178.19834388,202.16671474,52.5170643771702,3.0210114180089,Normal,0.2824311849025,0.336175922505162,0.381392892592338,52.45709534,0.149078213708823,76.4254662
147.83820484,178.04730392,203.93667216,60.8886105781456,3.29643528802099,Normal,0.279033627061987,0.336051056999601,0.384915315938412,56.09846732,0.159472637154813,81.98783556
160.64537253,190.47561478,217.37019737,59.6090329973206,3.25433718561185,Normal,0.282581993985406,0.33505464976949,0.382363356245104,56.72482484,0.150059493197611,83.61940743
159.98892282,190.85009576,220.8887106,66.7347543226124,3.48877341721395,High,0.279834114482192,0.333812907821922,0.386352977695886,60.89978778,0.159893315953381,90.93840262
145.66745471,174.75680963,198.50387532,55.2240735465646,3.11007201968198,Normal,0.280708336235998,0.336764951202107,0.382526712561896,52.83642061,0.153517786055551,76.5834863
132.63482365,159.49557295,180.80651495,56.4999735734916,3.15204913056787,Normal,0.280449295478552,0.337244924333079,0.382305780188368,48.1716913,0.153686464954371,69.4826333
141.57596135,171.57326908,197.10960858,58.0700839251377,3.20370576113703,Normal,0.277459106097377,0.336247519813444,0.386293374089179,55.53364723,0.163968152648127,81.06998673
151.25596772,181.0314085,208.80660776,65.3687701889702,3.44383253921712,High,0.27953733029416,0.33456555396981,0.385897115736031,57.55064004,0.1598351063375,85.3258393
149.44198419,181.82134578,213.12382601,62.6662831325626,3.35492071506131,High,0.274514162482353,0.333992717834584,0.391493119683062,63.68184182,0.175642159377553,94.98432205
159.63041618,187.83083388,213.55004781,54.5196608765006,3.08689684283687,Normal,0.284540466094125,0.334807578016949,0.380651955888925,53.91963163,0.144486747922166,79.63884556
139.11744664,168.55995849,195.47841898,62.4710412940952,3.34849725857573,High,0.276489787007983,0.335005480236972,0.388504732755045,56.36097234,0.168444915586641,83.27943283
144.80373283,176.09834488,205.19110224,62.3561114746825,3.34471606751706,High,0.275243508847163,0.334728431371675,0.390028059781162,60.38736941,0.172537887303172,89.48012677
